施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
中津公園,大阪市北区中津2-8,6.17,1993,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.495529&mpy=34.714439&gprj=3
中之島公園,大阪市北区中之島1-1外,292.72,2018,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504059&mpy=34.693573&gprj=3
長柄東公園,大阪市北区長柄東1-6外,19.20,2003,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.519058&mpy=34.712101&gprj=3
鶴満寺公園,大阪市北区長柄東1-3,19.20,1996,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.516281&mpy=34.710972&gprj=3
南天満公園,大阪市北区天神橋1-3外,68.85,2002,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.512512&mpy=34.692162&gprj=3
豊崎西公園,大阪市北区豊崎5-5,6.17,1992,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.498901&mpy=34.712242&gprj=3
本庄公園,大阪市北区本庄西3-11,19.20,2002,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.504211&mpy=34.715576&gprj=3
与力町公園,大阪市北区与力町5,19.20,1996,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.514343&mpy=34.701061&gprj=3
中之島西公園,大阪市北区中之島6-3,8.64,1992,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.483597&mpy=34.686707&gprj=3
もといきいきエイジングセンター,大阪市北区菅原町10-25,"3,005.55",2003,もと施設,福祉局 高齢者施策部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.51088&mpy=34.693981&gprj=3
もと救護・更生施設大淀寮,大阪市北区長柄西1-1-28,"4,729.50",1965,もと施設,福祉局 生活福祉部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.513016&mpy=34.712975&gprj=3
もと北部環境事業センター,大阪市北区同心2-8-14,"4,465.04",1986,もと施設,直営 環境局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.513901&mpy=34.703804&gprj=3
もと梅田東小学校,大阪市北区茶屋町1-40,"1,180.23",1962,もと施設,教育委員会事務局総務部 施設整備課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.499588&mpy=34.705643&gprj=3
もと北天満小学校,大阪市北区浪花町14-6,"1,727.64",1928,もと施設,教育委員会事務局総務部 施設整備課,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.510025&mpy=34.709747&gprj=3
もと都市整備局倉庫,大阪市北区梅田1-3-1,356.94,1971,もと施設,直営 都市整備局 総務部,01_kita_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.49704&mpy=34.698494&gprj=3
都島図書館,大阪市都島区中野町2-16-25,662.01,1978,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.528214&mpy=34.70089&gprj=3
都島区民センター,大阪市都島区中野町2-16-25,"1,632.73",1978,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（利用料金施設）都島区役所 まちづくり推進課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.528214&mpy=34.70089&gprj=3
もと大阪市公館,大阪市都島区網島町10-35,"1,902.32",1959,教育・文化・スポーツ施設会館・ホール／文化施設,有償貸付 経済戦略局 文化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.524567&mpy=34.693996&gprj=3
都島スポーツセンター,大阪市都島区中野町5-15-21,"2,518.48",1995,教育・文化・スポーツ施設スポーツ施設／スポーツセンター,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522308&mpy=34.70829&gprj=3
都島屋内プール,大阪市都島区都島本通4-12-7,"3,038.95",2005,教育・文化・スポーツ施設スポーツ施設／屋内プール,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.532135&mpy=34.707523&gprj=3
桜宮幼稚園,大阪市都島区東野田町1-2-5,"1,196.57",1980,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.527679&mpy=34.695148&gprj=3
都島区老人福祉センター,大阪市都島区中野町4-2-24-108,661.48,1975,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.524078&mpy=34.701881&gprj=3
御幸保育所,大阪市都島区御幸町2-7-13,509.03,1980,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.535019&mpy=34.716469&gprj=3
大東保育園,大阪市都島区大東町2-19-7,477.67,1978,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526596&mpy=34.72538&gprj=3
もと都島勤労青少年ホーム（都島区子ども・子育てプラザ）,大阪市都島区中野町5-15-21,823.84,1995,社会福祉・保健施設児童福祉施設／子ども・子育てプラザ,全部委託 こども青少年局 子育て支援部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522308&mpy=34.70829&gprj=3
都島休日急病診療所,大阪市都島区都島南通1-24-23,242.59,1993,社会福祉・保健施設保健関係施設／診療所,全部委託 健康局 健康推進部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.525681&mpy=34.705704&gprj=3
こころの健康センター,大阪市都島区中野町5-15-21,987.71,1995,社会福祉・保健施設保健関係施設／その他保健関係施設その他保健関係施設,直営 健康局 健康推進部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522308&mpy=34.70829&gprj=3
都島区役所,大阪市都島区中野町2-16-20,"4,723.16",1966,庁舎・事務所／区役所,直営（一部委託） 都島区役所,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.528412&mpy=34.701317&gprj=3
都島区保健福祉センター,大阪市都島区中野町5-15-21,"1,467.59",1995,庁舎・事務所／保健福祉センター,直営 都島区役所,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522308&mpy=34.70829&gprj=3
京橋市税事務所,大阪市都島区片町2-2-48,"1,621.95",－,庁舎・事務所／市税事務所,直営 財政局 税務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.532639&mpy=34.695122&gprj=3
都島消防署,大阪市都島区都島本通2-1-8,"1,918.79",1994,庁舎・事務所／消防局庁舎・消防署消防署,直営 消防局 総務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526245&mpy=34.706009&gprj=3
都島消防署高倉出張所,大阪市都島区友渕町2-15-20,243.82,1982,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.530502&mpy=34.717186&gprj=3
都島消防署東野田出張所,大阪市都島区網島町9-55,395.04,1975,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526611&mpy=34.695423&gprj=3
都島災害待機宿舎,大阪市都島区××××××××,99.58,1994,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.528061&mpy=34.701389&gprj=3
都島消防署艇庫,大阪市都島区中野町1-10,68.22,2016,庁舎・事務所／その他消防施設,直営 消防局 総務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.523575&mpy=34.698975&gprj=3
みゆきコミュニティホール,大阪市都島区御幸町2-6-20,105.00,1978,一般会計その他施設地域利用施設／地域集会施設,無償貸付 都島区役所,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.535141&mpy=34.715591&gprj=3
大東会館,大阪市都島区大東町2-19-16,128.97,1978,一般会計その他施設地域利用施設／地域集会施設,無償貸付 都島区役所,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526947&mpy=34.725533&gprj=3
大東老人憩の家,大阪市都島区大東町2-19-16,103.41,1978,一般会計その他施設地域利用施設／地域集会施設,無償貸付 都島区役所,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526947&mpy=34.725533&gprj=3
淀川地域老人憩の家,大阪市都島区毛馬町2-11-44,102.24,1978,一般会計その他施設地域利用施設／地域集会施設,無償貸付 都島区役所,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522034&mpy=34.722214&gprj=3
災害対策用職員住宅,大阪市都島区××××××××,63.65,－,一般会計その他施設一般会計その他施設職員住宅・宿舎／災害対策用職員住宅,その他 危機管理室,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526688&mpy=34.622059&gprj=3
水質観測局（大川）,大阪市都島区友渕町1-1-8先,27.40,2000,一般会計その他施設一般会計その他施設測定局・観測局／水質観測局,直営 環境局 環境管理部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522232&mpy=34.716362&gprj=3
都島駅自転車駐車場管理事務所,大阪市都島区都島本通1-22-12,13.39,1988,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.524704&mpy=34.709637&gprj=3
大阪城北詰駅自転車駐車場管理事務所,大阪市都島区片町1-2,10.76,2013,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.527267&mpy=34.693363&gprj=3
桜ノ宮駅自転車駐車場管理事務所,大阪市都島区中野町5-1,12.15,1992,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.520782&mpy=34.705059&gprj=3
野江内代駅自転車駐車場管理事務所,大阪市都島区内代町1-7,12.56,1990,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.537888&mpy=34.709061&gprj=3
京橋駅自転車駐輪場Gブロック管理ボックス,大阪市都島区片町2-3,2.92,1988,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.531906&mpy=34.695679&gprj=3
京橋駅自転車駐輪場いブロック管理ボックス,大阪市都島区東野田町5-1,1.44,1988,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.532913&mpy=34.699589&gprj=3
桜ノ宮駅自転車駐車場西側管理ボックス,大阪市都島区中野町4-20,3.89,1992,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522095&mpy=34.704914&gprj=3
桜ノ宮駅自転車駐車場南側管理ボックス,大阪市都島区中野町4-20,6.05,1992,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522095&mpy=34.704914&gprj=3
都島駅自転車駐車場管理ボックス,大阪市都島区都島北通1-1,1.44,1988,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526688&mpy=34.709335&gprj=3
野江内代駅自転車駐車場北側管理ボックス,大阪市都島区内代町1-16,1.44,1990,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.5383&mpy=34.709911&gprj=3
桜之宮公園,大阪市都島区中野町1-10外,"1,607.06",1974,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.523575&mpy=34.698975&gprj=3
都島中央公園,大阪市都島区中野町5-15,18.00,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522552&mpy=34.707996&gprj=3
内代公園,大阪市都島区内代町3-3,10.80,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.536331&mpy=34.713146&gprj=3
都島公園,大阪市都島区中通2-22,14.34,1998,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.52359&mpy=34.699627&gprj=3
毛馬中央公園,大阪市都島区毛馬町4-1,19.20,1997,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.521622&mpy=34.722561&gprj=3
友渕中央公園,大阪市都島区友淵町1-3,6.17,1992,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.522324&mpy=34.717171&gprj=3
蕪村公園,大阪市都島区毛馬町1-12,21.12,2009,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.519897&mpy=34.71875&gprj=3
もと交流会館,大阪市都島区都島南通1-24-23,473.35,1993,もと施設,健康局 総務部,02_miyakojima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.525681&mpy=34.705704&gprj=3
福島図書館,大阪市福島区吉野3-17-23,667.68,1987,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,03_fukushima_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.472794&mpy=34.691875&gprj=3
