未利用地登録年度,番号,所在（区）,町丁目,地番,街区番号,面積（㎡）,土地所管局,財産名称,現状,活用方針,分類基準,処分目途,貸付等の活用状況,備考,マップナビおおさかへのリンク,住居表示,緯度,経度,ジオコード精度
2006,663,東住吉区,照ケ丘矢田１丁目,208‐7外,14番,366,契約管財局,もとコミュニティ用地（児童遊園）,駐車場,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=439,大阪府大阪市東住吉区照ケ丘矢田１丁目14番,34.606926,135.534927,街区番号
2006,675,東住吉区,矢田５丁目,9‐1外,8番,1029,都市整備局（住環境整備課）,矢田中住宅,駐車場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=441,大阪府大阪市東住吉区矢田５丁目8番,34.599976,135.529556,街区番号
2006,688,東住吉区,矢田６丁目,10‐6,1番,109,市民局,もと矢田地区公共施設建設用地,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=453,大阪府大阪市東住吉区矢田６丁目1番,34.601963,135.530258,街区番号
2006,687,東住吉区,矢田６丁目,9‐1外,1番,350,こども青少年局,もと矢田児童遊園,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=452,大阪府大阪市東住吉区矢田６丁目1番,34.601963,135.530258,街区番号
2006,694,平野区,瓜破１丁目,1‐1内,1番,631,計画調整局,公共用地先行取得事業用地（平野区瓜破）,工事ヤード,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=552,大阪府大阪市平野区瓜破１丁目1番,34.608307,135.549652,街区番号
2006,695,平野区,瓜破１丁目,1‐1内,1番,1542,計画調整局,公共用地先行取得事業用地（平野区瓜破）,工事ヤード,処分検討地,基準２,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=553,大阪府大阪市平野区瓜破１丁目1番,34.608307,135.549652,街区番号
2006,698,平野区,瓜破東４丁目,1173‐1外,6番外,10336,環境局,瓜破霊園,空地・駐車場他,事業予定地,基準９,,貸付可能,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=549,大阪府大阪市平野区瓜破東４丁目6番外,34.603035,135.564331,街区番号
2006,700,平野区,瓜破東８丁目,12‐1,12番,10649,建設局,瓜破東８公園,広場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=551,大阪府大阪市平野区瓜破東８丁目12番,34.598255,135.562546,街区番号
2006,704,平野区,加美鞍作１丁目,35‐1,2番,991,環境局,もと加美詰所,コミュニティ広場,処分検討地,基準１,B,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=564,大阪府大阪市平野区加美鞍作１丁目2番,34.62653,135.564804,街区番号
2006,734,平野区,平野市町３丁目,57‐2,12番,110,市民局,もと平野地区公共施設建設用地,駐車場,処分検討地,基準２,A,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=563,大阪府大阪市平野区平野市町３丁目12番,34.625156,135.558914,街区番号
